PROVIDERID,NAME,SCHOOLIDENTIFICATIONNUMBER,STREET1,STREET2,CITY,STATE,ZIP,COUNTY,MSTREET1,MSTREET2,MCITY,MSTATE,MZIP,CONTACTFIRSTNAME,CONTACTLASTNAME,CONTACTTITLE,PHONE,PHONEEXTENSION,FAX,WEBSITE,EMAIL,LICENSINGAGENCYID,TYPEID,NONGOVAPPROVAL,CERTAPPROVALEXP,CUSTOMIZED,DISTANCELEARNING,SPEAKSPANISH,OTHERLANGUAGES,LANGUAGES,CAREERASSIST,ONESTOPCAREER,PERSONALASSIST,ACCESSAJBATB,CHILDCARE,ASSISTOBTAININGCHILDCARE,EVENINGCOURSES,ACCESSFORDISABLED,BUSROUTE1,BUSROUTE2,TRNROUTE1,TRNROUTE2,WIBCOMMENT,STATECOMMENT,DTSUBMITTED,STATUSNAME
9059,The Work Group - New Jersey Youth Corps Camden - WIOA YOUTH,222718636001,3720 Marlton Pike,,Pennsauken,NJ,8110,Camden,3720 Marlton Pike,,Pennsauken,NJ,8110,Lori,Godorov,Executive Director,8564867390,,8564867287,www.theworkgroup.net,lgodorov@theworkgroup.net,220,6,,6/30/2021 12:00:00 AM,2,2,2,2,,1,1,1,1,2,1,2,1,409,407,None,None,,"""6/30/2021 WIOA Youth contract expiration - SAZ

6/30/20 WIOA Youth contract expiration - SAZ

6/30/19 ETPL Renewal Expiration - SAZ""",7/23/2018 12:54:47 PM,Approved
9094,Brookdale Community College - WIOA YOUTH,221849485003,765 Newman Springs Road,,Lincroft,NJ,7738,Monmouth,765 Newman Springs Road,,Lincroft,NJ,7738,Linda,Roma,Director,7322242828,,7322242664,www.brookdalecc.edu,youthged@brookdalecc.edu,220,6,,9/30/2021 12:00:00 AM,2,2,2,2,,2,1,1,1,2,1,2,1,NJ Transit,,,,,"""9/30/2021 WIOA Youth contract expiration - SAZ
9/30/2020 WIOA Youth contract expiration - SAZ

9/30/19 WIOA YOUTH expiration - SAZ""",11/9/2018 12:49:14 PM,Approved
9095,Premier Health Academy - PCS,824722380000,4991 Route 42,Suite 8,Turnersville,NJ,8012,Gloucester,4991 Route 42,Suite 8,Turnersville,NJ,8012,Ahsan,Abdulghani,Owner/Administrator,8564812599,,8887302292,www.premierhealthacademy.com,premierhealthacademy@gmail.com,1,5,,8/31/2022 12:00:00 AM,1,2,2,1,Arabic,1,1,1,1,2,2,1,1,NJ Transit Camden-Turnersville #400,NJ Transit Camden-Turnersville #403,PATCO Woodcrest Station Cherry Hill,PATCO Ashland Station Voorhees,,"""8/31/2022 PCS/ETPL renewal expiration - SAZ

08/31/2020 - ETPL Initial application approval expiration date. SH

4/1/2020 suspended for expired liability - SAZ

10/3/19 no students to report for 3rd quarter - SAZ
3/25/19 suspended for expired liability - SAZ 7/22/19 reinstated)""",11/14/2018 12:09:36 PM,Approved
8799,I.A.T.S.E. North Jersey District Local 59,22101005000,154 RIDGE ROAD,,LYNDHURST,NJ,7071,Bergen,154 RIDGE ROAD,,LYNDHURST,NJ,7071,GREG,HANCOX,DIRECTOR,2019330440,,2019330441,http://www.iwant2bastagehand.org,YTTW@IWANT2BASTAGEHAND.ORG,39,7,,,1,2,2,2,,1,2,1,2,2,2,1,2,,,,,,"""7/12/19 no students to report for 2nd quarter - SAZ

4/26/18 - This is to inform you that we have had no student enrollments or exits for the quarter of January 1 - March 31 2018.

suspended for non student record compliance- records were due no later than 6/30/17. -je (reinstated). SH 

No Renewal Application Required. DBarry.""",8/20/2015 2:28:49 PM,Approved
404,Bergen County Technical Schools - Hackensack- WIOA Title 2,226002432001,190 Hackensack Avenue,,Hackensack,NJ,7601,Bergen,190 Hackensack Avenue,Adult Ed Building,Hackensack,NJ,7601,Victor,Lynch,Building Administrator,2013436000,2288,2019966961,www.bergen.org,viclyn@bergen.org,18,38,,6/30/2021 12:00:00 AM,1,2,1,1,"""Indic/Hindu, Italian, Spanish""",1,1,1,1,2,1,1,1,NJT 165,NJT # 762; # 171; # 756,,,,"""02/04/2022-ETPL Renewal Approval Expiration date. DBailey

8/26/2020 - Per J. Cohen, FY 20/21 approved WIOA Title 2 Lead Agency - SAZ
12/18/19-ETPL Renewal Approval Expiration Date. DBailey

7/8/19 - Per J. Cohen, FY19/20 Title II lead agency, per J. Cohen - SAZ

7/2/18 FY18/19 Title II provider, per J. Cohen - SAZ

7/2/18 COA expired - SAZ

08/18/17-ETPL Renewal Application Expiration Date. DBailey

9/25/17 approved for FY 17/18 Title II - per J. Cohen - SAZ

7/25/2016 Provider called in advising that there physical location is 190 Hackensack Ave. SHarris""",1/1/2002 12:00:00 AM,Approved
9054,St. Bernadine School of Allied Health - PCS,81372258600,591 Summit Avenue,Suite 411,Jersey City,NJ,7306,Hudson,591 Summit Avenue,Suite 411,Jersey City,NJ,7306,Louis,Samin,Director,2012221116,,2012221364,www.sbsalliedhealth.com,"""stbernadineschool@gmail.com, ljsamin@yahoo.com""",1,5,,12/31/2021 12:00:00 AM,1,2,1,1,Other Languages,1,1,1,1,2,1,2,1,1 block Journal Square Transportation Center,,1 block Journal Square Transportation Center,,,"""12/31/2021 - ETPL Renewal Application Approval Expiration date. SH

8/14/2020 suspended for non-compliance of PCS annual reporting requirements - SAZ (8/21/2020 reinstated)

12/31/2019 - ETPL Initial Application Approval Expiration date. SH

10/18/18 suspended for expired TPB, fire - SAZ (11/1/18 reinstated)""",6/28/2018 11:01:45 AM,Approved
9217,Prestige Medical Solutions - Hackensack - PCS,274486807004,50 Pulifly Road,,Hackensack,NJ,7601,Bergen,50 Pulifly Road,,Hackensack,NJ,7601,Salanisa,Rillera,Director,8008801560,,8887632414,www.prestigemedical.org,"""training@prestigemedical.org, aquesada@prestigemedical.org, elee@prestigemedical.org""",1,5,,12/31/2021 12:00:00 AM,2,2,2,2,,2,1,1,1,2,1,2,1,,,,,,"""12/31/21 PCS/ETPL initial expiration - SAZ

10/16/2020 suspended for non-compliance of 3rd quarter student record reporting - SAZ (11/5/2020 reinstated)

9/23/2020 suspended for expired fire - SAZ (10/6/2020 reinstated)

8/14/2020 suspended for expired liability - SAZ (8/21/2020 reinstated)

1/9/2020 suspended for expired fire - SAZ""",12/18/2019 9:30:21 AM,Approved
9253,Ursinus College,231177930000,601 E Main Street,,Collegeville,PA,19426,Out of State,601 E Main Street,,Collegeville,PA,19426,Ellen,Curcio,Director of Student Financial Services,6104093600,,6104093662,www.ursinus.edu,financialaid@ursinus.edu,23,15,Middle States Commission,2/28/2022 12:00:00 AM,1,2,2,2,,1,2,2,2,2,2,2,1,N/A,Septa Route 93 Pottstown to Norristown,N/A,N/A,,02/28/2022 - Initial Application Approval Expiration Date. JH,2/26/2020 12:56:12 PM,Approved
7705,Urban League of Essex County - PCS,221554540000,504 Central Avenue,,Newark,NJ,7107,Essex,504-508 Central Avenue,,Newark,NJ,7107,Vivian,Cox Fraser,President & Chief Executive Officer,9736249535,202,9736249597,www.ulec.org,"""vfraser@ulec.org, afrazier@ulec.org, psermon@ulec.org""",1,5,,3/31/2022 12:00:00 AM,1,1,1,2,,1,1,1,1,1,1,1,1,Easily accessible by taking following buses - 24 & 34,,"""21, walking distance of 5 miles""",None Available,,"""3/31/2022 PCS/ETPL renewal expiration - SAZ

7/17/2020 suspended for non-compliance of 1st/2nd quarter student record reporting - SAZ (7/23/2020 no students to report - SAZ)

3/31/2020 - ETPL Renewal Application Approval Expiration Date. JH

1/17/2020 no students to report for 4th quarter - SAZ
11/4/19 suspended for expired bond - SAZ (11/19/19 reinstated)

9/30/19 no students to report for 3rd quarter - SAZ
7/16/19 suspended for non-compliance of 2nd quarter student reporting - SAZ (7/24/19 no students to report per annual report - SAZ

4/16/19 suspended for non-compliance of 1st quarter student record reporting - SAZ (4/25/19 no students to report for 1st quarter - SAZ)

3/25/19 suspended for expired liability - SAZ (4/8/19 updated per Section J - SAZ)

10/16/18 no students to report for 3rd quarter - SAZ
6/29/18 - expired ETPL app - SAZ

7/17/18 suspended for 2nd quarter student reporting non-compliance - SAZ (7/18/18 no students to report per provider - SAZ)

03/02/2018 - ETPL renewal application approval expiration date. SH

4/6/18 COA requested

5/31/17 suspended for expired fire, liability - SAZ (11/14/17 reinstated)
02/23/2017 - suspended for not submitting an ETPL Renewal application. SH

06/21/16 Reinstated received certificate of approval DBAILEY
DBarry reinstated on 3/18/15 with TP approval letter. 


certificate of approval expired
6/30/2015 will suspend dkelly 3/30/2016

Provider did not renew approval. Suspended from ETPL on 3/7/14. MS""",2/23/2004 10:29:09 AM,Approved
391,Winsor's Tractor Trailer Driving School,223396059000,3106 South Wood Ave.,Suite 100,Linden,NJ,7036,Union,3106 South Wood Ave.,,Linden,NJ,7036,John,Marques,Director,9088623252,,9084748080,www.winsorsdriving.com,info@winsorsdriving.com,11,18,,12/31/2021 12:00:00 AM,1,2,1,1,"""Portuguese, Spanish""",1,1,1,1,2,2,2,1,Newark #62 transfer Elizabeth # 57,more available by calling NJ transit with specific locations,"""Newark to Trenton line get off at Wood Avenue Linden, 2 miles away""",,,"""01/29/2022-ETPL Renewal Approval Expiration Date. Dbailey

10/16/2020 suspended for non-compliance of 3rd quarter student record reporting - SAZ (10/20/2020 reinstated)

12/31/2019 - ETPL renewal application approval expiration date. SH

1/3/19 COA expired - SAZ (1/23/19 reinstated)

3/13/18 COA expired - SAZ (3/15/18 email from MVC confirming certification)

08/16/2017 DKELLY APPROVAL EXPIRATION DATE
4/6/17 updated COA - SAZ
suspended due to expired certification DBAILEY 04/20/16/ Reinstated and updated certificate. 04/21/16""",1/1/2002 12:00:00 AM,Approved
1267,"""Ideal Driving School, Inc. - Clifton""",223154920000,1151 Main Avenue,,Clifton,NJ,7011,Passaic,1151 Main Avenue,,Clifton,NJ,7011,Alissia,Alfaro,Director,9737734030,,9737735416,WWW.IDEALDRIVING.COM,IDEAL2020@aol.com,11,18,,12/31/2021 12:00:00 AM,1,2,1,2,,1,1,1,2,2,2,1,1,NJ TRANSIT,,NJ TRANSIT,,,"""09/29/2022- ETPL Renewal Application approval expiration date. SH

1/8/21 ETPL renewal application approval, AL

1/2/20 COA expired - SAZ (1/16/2020 reinstated)

1/3/19 COA expired - SAZ (1/4/19 COA updated/reinstated)

3/13/18 COA expired - SAZ (3/15/18 email from MVC confirming certification)
12/4/17 ETPL renewal expired - SAZ
09/13/2017 - ETPL renewal application approval expiration date. SH

4/7/17 suspended for expired COA - SAZ (reinstated 4/19/2017 SH)
suspended as of 03/21/16 providers certification is exp. as of 12/31/15. DBAILEY/Re-instate received new certification on 03/24/16 DBAILEY""",5/9/2001 10:00:06 AM,Approved
9040,"""Arm in Arm, Inc. - WFNJ""",223198464000,123 East Hanover Street,,Trenton,NJ,8608,Select One,123 East Hanover Street,,Trenton,NJ,8608,Margaret,Cowell,Director of Operations,6093969355,20,6094824444,www.arminarm.org,margaretc@arminarm.org,220,6,,6/30/2021 12:00:00 AM,2,2,2,2,,1,1,1,1,2,2,2,1,"""NJ Transit 603, 604, 606 and 607""",,Trenton Transit Center connects to the NJ Transit buses.,,,"""6/30/2021 WFNJ contract expiration - SAZ
6/30/20 WFNJ contract expiration - SAZ

04/16/2019 - ETPL Initial application approval expiration date. SH

7/2/18 COA expired - SAZ""",4/16/2018 10:10:16 AM,Approved
9147,Delaware Valley Medical Career Institute - PCS,832569882001,One Mill Street,,Woodstown,NJ,8098,Salem,One Mill Street,,Woodstown,NJ,8098,Paul,Bussey MD,Dean of Student Affairs,8563243535,,8568235348,delawarevalleymedicalcareerinstitute.org,pbussey@dvmci.org,1,5,National Healthcareer Association NHA,4/30/2021 12:00:00 AM,2,2,2,2,,1,1,1,1,2,2,1,1,401 Philadelphia to Salem,468 Salem to Woodstown,,,,"""4/30/21 PCS/ETPL expiration - SAZ

1/19/2021 suspended for non-compliance of 4th quarter student record reporting - SAZ (1/20/2021 reinstated)

9/9/2020 suspended for expired fire - SAZ (10/28/2020 reinstated)

8/13/2020 suspended for non-compliance of PCS annual reporting requirements - SAZ (8/21/2020 reinstated)

2/13/2020 suspended for expired liability - SAZ (3/9/2020 reinstated)
12/23/19 suspended for expired bond - SAZ (1/13/2020 reinstated)

5/10/19 pending COA - SAZ""",5/3/2019 9:56:57 AM,Approved
8993,Pinelands School of Practical Nursing and Allied Health - PCS,2023842520001,1901 Lakewood Road,Suite 300,Toms River,NJ,8755,Ocean,1901 Lakewood Road,Suite 300,Toms River,NJ,8755,Jovita,Francis,Director,7322287290,,7322287496,info@pinelandsnursing.com,jfrancis@pinelandsnursing.com,1,5,,4/30/2022 12:00:00 AM,2,2,2,2,,2,2,2,2,2,2,1,2,,,,,,"""4/30/2022 PCS/ETPL renewal expiration - SAZ

04/30/20 - ETPL Renewal Application Approval Expiration Date (Rec'd update Fire Cert). JH

1/15/19 no students to report for 4th quarter - SAZ
9/5/18 suspended for expired fire - SAZ (9/19/18 reinstated)
4/26/18- Pending for Fire
Certificate; Change of Location. JH""",9/7/2017 2:21:35 PM,Approved
7795,American Institute of Medical Sciences & Education - Piscataway - PCS,201077437000,4500 New Brunswick Avenue,,Piscataway,NJ,8854,Middlesex,4500 New Brunswick Avenue,,Piscataway,NJ,8854,Barry,Ferguson,Campus Director,9082220002,334,9084506111,www.aimseducation.edu,barry@aimseducation.edu,1,5,"""MSA-CESS, ARMRIT,CAAHEP, NHA, NCCT, AMT, ARRT""",10/31/2021 12:00:00 AM,1,2,1,1,"""Indic/Hindu, Other Languages""",1,1,1,1,2,2,1,2,,,Take North East Corridor Line to Metuchen OR Edison train station,,,"""10/31/21 PCS/ETPL renewal expiration - SAZ

2/7/2020 suspended for expired fire - SAZ (2/12/2020 reinstated)

10/31/2019 - ETPL Renewal application approval expiration date. SH

10/5/17 COA updated - SAZ
10/21/17- ETPL Approval Renewal Expiration date. DBailey
Updated cert exp date to 10/31/17 on 8/31/16. DBarry.""",11/16/2004 4:15:06 PM,Approved
6348,American Training School for Medical Professionals - PCS,223705546000,5300 Bergenline Avenue - Ground Floor,,West New York,NJ,7093,Hudson,5300 Bergenline Avenue - Ground Floor,,West New York,NJ,7093,Dante,Joa,Program Director,2018549989,201,2018546615,www.atsmp.com,info@atsmp.com,1,5,,5/31/2021 12:00:00 AM,2,2,1,1,"""Arabic, Korean, Spanish""",1,1,1,1,2,2,1,1,"""181, 159, 84, 126, 22.""",,"""Light Rail, PATH""",,,"""5/31/21 PCS/ETPL renewal expiration - SAZ

12/20/2020 suspended for expired bond, fire - SAZ (1/28/2021 reinstated)

05/31/19-ETPL Renewal Approval Expiration Date. DBailey

8/26/19 suspended for non-receipt of annual report - SAZ

12/20/18 suspended for expired fire, TPB - SAZ (5/2/19 reinstated)

10/18/18 suspended for expired liability - SAZ (10/25/18 reinstated)
12/12/17 no ETPL renewal app received - SAZ
10/24/17 suspended for expired fire - SAZ (12/12/17 received)
9/22/17 suspended for expired liability - SAZ (reinstated)

6/27/17 updated COA - SAZ
1/11/17 Suspended for expired bond - SAZ (reinstated 1/17/17)

10/28/2014 Approved for new location. COEI Certificate has been approved, waiting for DOE signature on official Certificate. Approved on ETPL(per B. Grimmie)  to avoid delays to enroll students. J Voj""",6/17/2003 1:14:09 PM,Approved
602,Merit Technical Institute - Harrison - PCS,223545027001,620 Essex Street,2nd floor,Harrison,NJ,7029,Hudson,620 Essex Street,2nd floor,Harrison,NJ,7029,Winifred,Kamunge,Director,9734840276,,9732427480,merittechnical.net,meritnurses@gmail.com,1,5,,1/31/2022 12:00:00 AM,2,2,1,1,Spanish,1,2,2,2,1,1,1,1,New Jersey Transit - Kearny,,Path trains from New York to New Jersey,,,"""1/31/2022 PCS/ETPL renewal expiration - SAZ

11/16/2020 suspended for expired fire - SAZ (12/2/2020 reinstated)

1/31/2020 PCS/ETPL renewal expiration - SAZ

8/27/19 suspended for non-receipt of PCS annual report - SAZ (9/16/19 reinstated)

4/22/19 suspended for expired TPB - SAZ (5/28/19 reinstated)

mail returned 10/18/2012 - no forwarding address - JVoj""",1/1/2002 12:00:00 AM,Approved
9093,Construction Craft Laborers Training and Apprenticeship Fund of New Jersey,226234965000,31 Mott Avenue,,Monroe Township,NJ,8831,Middlesex,31 Mott Avenue,,Monroe Township,NJ,8831,Donald,Howard,Training Director,7325210200,,7325213117,www.trainliunanjde.org,njbltc@trainliunanjde.org,39,7,RAPIDS #NJ002000021,,1,2,1,2,,1,1,1,2,2,2,2,1,n/a,,n/a,,,Registered apprenticeship approval granted on 11/08/2018. SH,11/8/2018 1:16:43 PM,Approved
8983,Rutgers-Center for Effective School Practices,122600108001,80 Cottontail Lane,Sutie 410,Somerset,NJ,8873,Somerset,80 Cottontail Lane,Sutie 410,Somerset,NJ,8873,Heather,Ngoma,Alternate Route teacher Program Director,7325649100,14,7325649099,cesp.rutgers.edu,heather.ngoma@gse.rutgers.edu,16,4,,10/28/2022 12:00:00 AM,1,1,2,2,,1,1,1,1,2,2,1,1,N/A,N/A,N/A,N/A,,"""10/28/2022 - ETPL Renewal Application Approval Expiration Date. JH
08/01/19- ETPL Renewal Approval Expiration Date. DBailey

9/14/18 no 3rd quarter students to report per provider - SAZ""",7/25/2017 1:29:40 PM,Approved
8917,Seafarers Harry Lundeberg School of Seamanship - APPRENTICESHIP,52274275000,45353 St. Georges Ave,,Piney Point,MD,20653,Out of State,45353 St. Georges Ave,,Piney Point,MD,20653,Hanna,Senatore,Assistant Academic Coordinator/Registar,3019940100,5395,3019942182,www.seafarers.org,hsenatore@seafarers.org,39,7,,,1,2,2,2,,2,1,1,1,2,2,2,1,The school has a motor pool department that will drop off and pick up,Students from the bus station and the airport,,,,Registered Apprenticeship Approval Granted on 10/25/2016. SHarris,10/25/2016 3:37:31 PM,Approved
27,Mercer County Community College - Certificate Programs (Non-Credit),221804242000,1200 Old Trenton Road,,West Windsor,NJ,8550,Mercer,102 North Broad Street,,Trenton,NJ,8608,Roseann,Cooper,"""Manager, Registration Operations""",6095703202,,6095703883,http://www.mccc.edu/services_ccs.shtml,"""Hannawas@mccc.edu, ComEd@mcccc.edu""",16,4,Comm. on Higher Edu. of the Middle States Association of Colleges and Schools,,1,1,2,2,,1,1,2,1,2,2,1,1,New Jersey Transit 609 or 619,,None Available,,,"""1/15/21 - ETPL renewal approval expiration date - SAZ

08/01/2018- ETPL Renewal Approval Expiration Date. DBailey

7/2/18 FY18/19 Title II provider, per J. Cohen - SAZ

9/25/17 approved for FY 17/18 Title II - per J. Cohen - SAZ

08/01/2017 - ETPL Renewal Approval Expiration Date. SH.

Lead Title II Grant FY 2016/17""",6/19/2000 12:00:00 AM,Approved
7827,Urban Workforce - Union County - WIA Title 2,223790867001,49 Broad Street,,Elizabeth,NJ,7201,Union,66 Emora Avenue,,Elizabeth,NJ,7202,Gilberto,Romero,School Director,2018651199,,2018655587,www.workforceadvantageusa.com,GRomero@Workforceadvantageusa.com,260,38,,6/30/2021 12:00:00 AM,2,2,1,2,Spanish,2,2,2,2,2,2,2,2,,,,,,"""02/16/2023-ETPL Renewal Approval Expiration date. DBailey

2/8/2023 - ETPL Renewal application approval expiration date: AL 
11/14/2018 - ETPL Renewal application approval expiration date. SH

11/1/18 suspended for expired COA/contract - SAZ
Partner Title II Grant FY 2017/18

11/29/17-ETPL Renewal Approval Expiration Date. DBailey
Partner Title II Grant FY 2016/17
Partner for Title II Adult/Remedial Education Programs FY 2014/15""",1/24/2005 3:08:52 PM,Approved
8153,"""Pro Data, Inc. - Jersey City - PCS""",200918247001,"""2500 Plaza 5, Floor 25""",Harborside Financial Center,Jersey City,NJ,7311,Hudson,"""2500 Plaza 5, Floor 25""",Harborside Financial Center,Jersey City,NJ,7311,Mioara,Canciu,President,2013772305,,6463491543,www.pro-data.us,training@pro-data.us,1,5,,2/28/2022 12:00:00 AM,1,2,2,2,,1,1,1,1,2,2,1,1,86 to Columbus Drive at Hudson St.,80 to Columbus Drive at Hudson St.,NJ Path to Exchange Place,NJ Lightrail to Harborside Financial Center,,"""02/28/2022 - ETPL Renewal Application Approval Expiration Date. JH

12/20/2019 - ETPL Renewal application approval expiration date. SH

6/4/19 suspended for expired fire - SAZ (reinstated)

12/07/2017 - ETPL renewal application approval expiration date. SH
6/1/17 updated COA - SAZ
3/1/17 Suspended for expired fire, COA - SAZ (received fire 3/2/17)

3/29/2016 suspended for expired fire certificate and failure to submit student records SHarris reinstated fire certificate received""",4/17/2008 9:48:17 AM,Approved
7848,"""Ideal Driving School, Inc. - Fords""",223154920002,279 New Brunswick Ave.,,Fords,NJ,8863,Middlesex,279 New Brunswick Ave,,Fords,NJ,8863,Alissia,Alfaro,Director,7326619401,,7326617810,www.idealdriving.com,IDEAL2020@aol.com,11,18,,12/31/2021 12:00:00 AM,2,2,1,1,Portuguese,1,1,1,1,2,2,1,1,NJ Transit,,NJ Transit,,,"""12/12/21-ETPL Renewal Approval Expiration Date. DBailey

1/19/2021 suspended for non-compliance of SSN reporting for 4th quarter - SAZ (1/28/2021 reinstated)

1/2/20 COA expired - SAZ (1/16/2020 reinstated)

12/31/2019 -ETPL renewal application approval expiration date. SH

1/3/19 COA expired - SAZ (1/4/19 COA updated/reinstated)

3/13/18 COA expired - SAZ (3/15/18 email from MVC confirming certification)
09/13/2017 - ETPL renewal application approval expiration date. SH

4/7/17 suspended for expired COA - SAZ (reinstated 4/19/2017 SH)

suspended as of 03/21/16 due to certifications exp. on 12/31/15. DBAILEY/ re-instate received new certification on 03/24/16 DBAILEY""",3/17/2005 10:50:45 AM,Approved
9159,"""Pro Data, Inc. - Newark - PCS""",200918247002,One Gateway Center,Suite 2600,Newark,NJ,7102,Essex,One Gateway Center,Suite 2600,Newark,NJ,7102,Mioara,Cianciu,Director,2012042079,,0,http://pro-data.us/,training@pro-data.us,1,5,,10/31/2022 12:00:00 AM,2,2,2,2,,1,1,1,1,2,1,2,1,,,,,,"""10/31/2022 - ETPL Renewal Application Approval Expiration Date. JH

1/19/2021 suspended for non-compliance of 4th quarter student record reporting - SAZ (1/21/2021 reinstated)

10/31/2020 PCS/ETPL approval expiration - SAZ

9/2/2020 suspended for expired fire - SAZ (10/2/2020 reinstated)

7/19/19 suspended for expired fire - SAZ (7/31/19 reinstated)

7/16/19 suspended for non-compliance of 2nd quarter student reporting - SAZ (7/19/19 reinstated)""",5/30/2019 9:19:23 AM,Approved
8426,"""ACECS, Inc. - PCS""",203689035001,165 Main Street,,Woodbridge,NJ,7095,Middlesex,165 Main Street,,Woodbridge,NJ,7095,Sailesh,Mehta,Director,7324913365,,2015792623,www.acecsinc.com,sam@acecsinc.com,1,5,,10/31/2021 12:00:00 AM,1,1,2,1,Indic/Hindu,1,1,1,1,2,1,1,2,Bus # 803,Bus # 801,Woodbridge Train Station  woodbridge nj 07095,,,"""10/31/21 PCS/ETPL renewal expiration - SAZ

1/16/2020 suspended for non-compliance of 4th quarter student record reporting - SAZ (2/3/2020 reinstated)

10/31/2019 - ETPL Renewal application expiration date: A.L

9/17/19 no students to report for 3rd quarter - SAZ
7/3/19 no students to report for 2nd quarter - SAZ
3/25/19 suspended for expired liability - SAZ; 5/6/19 suspended for expired TPB - SAZ (5/10/19 reinstated)

4/11/19 no student enrollments to report for 1st quarter - SAZ

1/2/19 suspended for expired lease - SAZ (1/8/19 reinstated)
9/4/18 suspended for 2018 annual report - SAZ (10/5/18 reinstated)

03/06/2018 - ETPL Renewal application approval expiration date. SH
11/6/17 COA expired - SAZ
Suspended 2/22/17 - No ETPL Renewal Application submitted. DBarry
12/21/16 Updated COA - SAZ
7/6/2016 suspended for expired liability insurance SHarris reinstated""",12/10/2010 10:34:10 AM,Approved
7781,Branford Institute - Elizabeth - PCS,61685087000,333 North Broad Street,Suite 201,Elizabeth,NJ,7208,Union,333 North Broad Street,Suite 201,Elizabeth,NJ,7208,Adeola,Owoade,Director,9083521004,,9083526919,www.branfordinstitute.org,"""brandford242@gmail.com, branfordinstitute1@gmail.com""",1,5,,10/31/2021 12:00:00 AM,2,2,1,2,Spanish,1,1,1,1,2,2,1,2,"""Bus  24  via   Orange, East orange, Newark & Elizabeth.""",,North Jersey Coast Line,,,"""10/31/2021 - ETPL Renewal application approval expiration date. SH

6/30/2020 no students to report for 2nd quarter - SAZ

10/31/2019 - ETPL Renewal application approval expiration date. SH

5/15/19 suspended for expired TPB - SAZ (5/17/19 reinstated)

1/10/19 no students to report for 4th quarter - SAZ

7/11/18 change of location received (12/12/18 Section Js approved - SAZ)
6/25/18 - not approved to date - SAZ

03/23/2018 - ETPL Renewal application approval expiration date. SH

7/7/17 - suspended for non student record compliance- records were due no later than 6/30/17. - SAZ (7/16/17 reinstated)
7/6/17 suspended for expired lease - SAZ (7/12/17 received)
Updated COA exp date on 10/6/16 to 10/31/17. DBarry.""",10/20/2004 1:21:28 PM,Approved
8362,Merit Training Institute - PCS,264531015000,7000 Atrium Way,Suite 4,Mount Laurel,NJ,8054,Burlington,7000 Atrium Way,Suite 4,Mount laurel,NJ,8054,Brandi,Lippincott,Director,6093866400,102,6093866004,www.MeritInstitute.com,"""Brandi@MeritInstitute.com, Catherine@MeritInstitute.com""",1,5,,3/31/2022 12:00:00 AM,1,1,2,2,,1,1,1,1,2,2,1,1,Bus #406 drops riders off in front of 7000 Atrium Way.,"""Bus #406 can be picked up at the Walter Rand Transportation Center in Camden, NJ""",A train can be taken to the Walter Rand Transportation Center & then to bus #406,,,"""3/31/2022 PCS/ETPL renewal expiration - SAZ

03/31/2020 - ETPL Renewal Approval Expiration Date. JH

8/6/19 suspended for expired liability - SAZ (8/7/19 reinstated)

8/2/19 suspended for expired bond - SAZ (8/7/19 reinstated)

01/09/2019- ETPL Renewal Approval Expiration Date. Dbailey

4/4/18 COA expired - SAZ (4/16/18 COA requested SAZ)

03/13/18- received fire certificate-reinstated. DBailey
3/12/18 suspended for expired fire - SAZ
11/16/2017 - ETPL Renewal application approval expiration date. SH
9/11/17 change of location approved - SAZ
8/7/17 suspended for expired TPB - SAZ
4/3/17 suspended for expired COA - SAZ (4/25/17 reinstated)

suspended for expired certificate of approval 4/13/2016 SHarris Reinstated""",4/13/2010 11:54:23 AM,Approved
8254,Therapeutic Massage & Training Center - PCS,141873555000,560 Springfield Avenue - Suite F & H,,Westfield,NJ,7090,Union,560 Springfield Avenue - Suite F & H,,Westfield,NJ,7090,Arlene,Reardon,President,9087892288,,9735561016,www.massagetrainingcenter.com,Info@MassageTrainingCenter.com,1,5,,4/30/2022 12:00:00 AM,1,2,1,1,"""Portuguese, Spanish""",1,1,1,2,2,2,1,1,"""NJ Transit 58, 59 or 65/66""",,,,,"""4/30/2022 PCS/ETPL renewal expiration - SAZ

04/30/2020 - ETPL renewal  application approval expiration date AL

9/5/19 suspended for expired fire - SAZ (10/3/19 reinstated)

08/11/2018 - ETPL renewal application approval expiration date. SH

10/24/17 suspended for expired TPB - SAZ (reinstated)
11/07/2017 - ETPL renewal application approval expiration date. SH
1/10/17 Suspended for expired bond, fire - SAZ Reinstated
7/25/17 - COA updated - SAZ""",3/17/2009 2:21:24 PM,Approved
